[2022-07-13 23:23:42,389] [EMAIndicator] [get_results] [INFO]: Percent result is: BUY
[2022-07-13 23:23:42,390] [EMAIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 23:23:42,390] [EMAIndicator] [get_results] [INFO]: Percent result is: BUY
[2022-07-13 23:23:42,390] [EMAIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 23:23:42,390] [EMAIndicator] [get_results] [INFO]: Percent result is: BUY
[2022-07-13 23:23:45,396] [EMAIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 23:23:45,397] [EMAIndicator] [get_results] [INFO]: Percent result is: BUY
[2022-07-13 23:23:45,397] [EMAIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 23:23:45,397] [EMAIndicator] [get_results] [INFO]: Percent result is: BUY
[2022-07-13 23:23:45,397] [EMAIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 23:23:45,397] [EMAIndicator] [get_results] [INFO]: Percent result is: BUY
[2022-07-13 23:23:48,412] [EMAIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 23:23:48,413] [EMAIndicator] [get_results] [INFO]: Percent result is: BUY
[2022-07-13 23:23:48,413] [EMAIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 23:23:48,413] [EMAIndicator] [get_results] [INFO]: Percent result is: BUY
[2022-07-13 23:23:48,413] [EMAIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 23:23:48,413] [EMAIndicator] [get_results] [INFO]: Percent result is: BUY
[2022-07-13 23:23:51,414] [EMAIndicator] [get_results] [INFO]: Current result for symbol BTC is: 
[2022-07-13 23:23:51,414] [EMAIndicator] [get_results] [INFO]: Percent result is: BUY
[2022-07-13 23:23:51,414] [EMAIndicator] [get_results] [INFO]: Current result for symbol LTC is: 
[2022-07-13 23:23:51,415] [EMAIndicator] [get_results] [INFO]: Percent result is: BUY
[2022-07-13 23:23:51,415] [EMAIndicator] [get_results] [INFO]: Current result for symbol BURGER is: 
[2022-07-13 23:23:51,415] [EMAIndicator] [get_results] [INFO]: Percent result is: BUY
[2022-07-13 23:24:37,451] [EMAIndicator] [init_logger] [INFO]: Initialize logger
[2022-07-13 23:24:38,913] [EMAIndicator] [execute] [INFO]: Execute for Symbol BTC
[2022-07-13 23:24:40,789] [EMAIndicator] [execute] [INFO]: Execute for Symbol BURGER
[2022-07-13 23:24:41,680] [EMAIndicator] [execute] [INFO]: Execute for Symbol LTC
